ID,Name,Birthday,Location_during_crime,Eye_Color,Skin_Color,Hair_Color,Height
P080,Jacob Chaney,07/02/1993,lobby,red,orange,violet,172
P048,Jose Black,1990/07/12,second floor,indigo,yellow,red,157
P279,Cody Martinez,10/01/1979,,,yellow,orange,150
P098,Ronald Boyer,04/21/1986,,,indigo,indigo,157
P171,Donna Dillon,2003/02/04,lobby,yellow,orange,blue,194
P286,Bethany Meyer,1962/18/08,,orange,violet,yellow,176
P090,Latasha Newton,1994/18/10,lobby,orange,yellow,blue,159
P150,Robert Klein,1990/03/04,second floor,red,red,red,197
P251,Larry Roberts,07/01/2005,,,violet,blue,156
P166,Adrian Black,01/13/1976,fourth floor,,violet,yellow,176
P291,Amy White,1968/22/08,fourth floor,violet,violet,red,154
P244,Jason Terrell,1995/17/07,lobby,blue,yellow,orange,179
P275,Mary Mendoza,2003/25/11,third floor,green,yellow,blue,198
P191,William Montgomery,1976/22/07,fourth floor,orange,indigo,indigo,195
P073,Jamie King,02/27/1968,,orange,green,red,157
P272,Kiara Arnold,1977/29/08,third floor,red,orange,violet,199
P060,Brianna Hardy,09/28/1962,second floor,yellow,red,green,154
P001,Andrea Murphy,2000/13/08,third floor,green,blue,violet,190
P105,Debra Hurst,06/22/1978,second floor,,violet,indigo,191
P208,Alexander Allen,1984/25/01,second floor,orange,indigo,violet,174
P125,Kayla Hanson,04/23/1984,third floor,yellow,violet,yellow,173
P207,Thomas Jones,1970/26/06,fourth floor,indigo,red,indigo,187
P145,Robert Lee,11/07/1999,second floor,,indigo,violet,173
P063,Gary Bailey,1970/27/11,second floor,blue,violet,violet,165
P141,Lisa Bailey,1994/28/09,,yellow,orange,violet,188
P089,Wesley Terry,1992/27/11,second floor,orange,orange,red,164
P076,Ashley Hayes,12/07/1987,fourth floor,,indigo,green,181
P296,Jennifer Robinson,03/20/1988,third floor,,blue,yellow,196
P179,Brian Orozco,1972/23/08,fourth floor,indigo,red,orange,180
P216,Mrs. Daisy Johnson MD,12/10/1966,lobby,,yellow,blue,172
P194,Cynthia Obrien DDS,05/27/1985,third floor,green,orange,violet,151
P265,Jason Fischer,1989/25/02,fourth floor,violet,indigo,red,181
P206,Ryan Young,1967/13/01,fourth floor,blue,violet,red,186
P039,Vincent Allen,1991/02/09,fourth floor,green,blue,green,167
P053,Amber Woodward,1981/17/03,third floor,orange,red,yellow,186
P082,Tammy Wiley,1987/16/04,second floor,blue,blue,orange,153
P256,Steven Cisneros,1958/06/09,fourth floor,orange,blue,indigo,192
P255,Alan Thomas,1961/01/08,fourth floor,violet,yellow,orange,166
P132,Amanda Morales,1971/22/07,,violet,blue,green,192
P213,Adam Little,1962/07/06,lobby,green,violet,blue,156
P293,Mrs. Barbara Harris,1988/05/01,fourth floor,indigo,blue,orange,197
P158,Karen Roberts,05/11/1981,,,yellow,blue,172
P172,Larry Kennedy,1974/30/07,third floor,indigo,red,blue,194
P140,Robert Thomas,2004/01/04,lobby,orange,orange,blue,160
P023,Mrs. Kristina Wilson,03/18/1991,,violet,blue,blue,180
P028,Robin Moore,1993/06/07,third floor,indigo,blue,green,195
P084,Colleen Hogan,1963/22/05,second floor,violet,violet,indigo,183
P154,Kyle Morgan,1999/30/10,,blue,indigo,yellow,155
P281,Martin Peters,1971/19/10,fourth floor,indigo,orange,blue,195
P170,George Coleman,1961/19/11,third floor,yellow,blue,indigo,167
P139,Michael Archer,1997/13/07,second floor,orange,yellow,red,189
P156,Alexandria Stephens,1981/25/03,third floor,yellow,yellow,orange,152
P094,Michael Hood,06/06/1963,,,yellow,indigo,183
P067,Gary Lowe,02/21/1990,fourth floor,green,yellow,green,169
P143,Tyler Thomas,1996/16/07,,yellow,indigo,violet,150
P198,Christopher Rodriguez,2002/22/02,third floor,indigo,red,red,172
P162,Rhonda Baxter,1975/22/03,lobby,orange,yellow,yellow,194
P055,Daniel Hardy,1983/16/04,second floor,red,orange,blue,170
P257,Patricia Hernandez,04/28/1993,fourth floor,orange,violet,indigo,153
P119,Peter Rodriguez,10/21/2005,fourth floor,red,orange,violet,200
P300,Michael Mendez,1964/10/11,,violet,yellow,blue,192
P051,Autumn Greer,1964/18/11,fourth floor,blue,violet,violet,157
P188,Brooke Barajas,1999/04/11,,yellow,indigo,indigo,155
P141,Lisa Bailey,1994/28/09,,yellow,orange,violet,188
P232,Sara Griffith,07/01/1973,,,blue,violet,173
P250,Jeffrey Walsh,08/04/2001,fourth floor,,violet,yellow,195
P032,Eric Reyes,1983/06/11,,red,violet,red,167
P019,Brandon Johnson,1958/24/05,second floor,green,orange,blue,170
P149,Brittney Nelson,12/14/1967,fourth floor,,indigo,blue,150
P137,David Collins,1988/08/09,third floor,red,blue,yellow,198
P007,Shawn Jimenez,11/01/1973,second floor,red,indigo,yellow,192
P166,Adrian Black,01/13/1976,fourth floor,,violet,yellow,176
P167,Denise Rodriguez,2005/26/11,,yellow,yellow,yellow,196
P289,Dr. Melinda Ayala MD,06/05/1998,,green,yellow,red,158
P285,Charles Johnson,1963/10/06,fourth floor,orange,orange,blue,160
P021,Patrick Mccarthy,1974/23/12,third floor,violet,orange,orange,162
P167,Denise Rodriguez,2005/26/11,,yellow,yellow,yellow,196
P227,Emma Nelson,10/03/1987,,,blue,green,183
P234,Miguel Day,02/05/2003,second floor,,orange,orange,154
P153,Mary Lara,08/21/1961,lobby,,blue,blue,152
P148,Julie Lester,2004/28/03,third floor,violet,green,orange,196
P088,Jeremy Garcia,1979/02/01,fourth floor,violet,indigo,green,168
P228,Michael Peterson,2000/30/10,,orange,indigo,orange,160
P077,Emily King,01/07/1974,second floor,,green,blue,189
P295,Jordan Rasmussen,1958/21/12,third floor,orange,indigo,violet,172
P011,Heather Lewis,01/25/1996,second floor,green,yellow,indigo,156
P093,Erin Medina,04/13/1978,third floor,,violet,green,179
P157,Ronald Jackson,1973/23/04,second floor,blue,red,red,200
P138,Andrew Sharp,1965/18/07,fourth floor,green,orange,green,172
P185,Paul Horton,1991/19/06,fourth floor,yellow,blue,violet,182
P030,Elijah Coleman,1988/06/01,fourth floor,violet,violet,indigo,183
P120,Denise Parker,07/18/1968,lobby,,yellow,green,189
P297,Michelle Weber,1993/03/05,,yellow,red,orange,190
P116,Amanda Montes,1979/05/10,lobby,red,green,green,169
P100,Mark Singh,1965/08/09,second floor,green,green,green,156
P189,John Roberson,1959/02/09,lobby,yellow,green,blue,155
P134,Jesse Gaines,1967/08/09,,indigo,violet,blue,184
P155,Margaret Miller,05/16/1959,fourth floor,green,green,blue,160
P161,Gregory Trevino,1978/20/07,lobby,orange,green,violet,177
P152,Cassandra Dunn,1992/08/07,third floor,yellow,yellow,indigo,151
P200,Laura Wagner,1987/17/05,third floor,orange,red,orange,200
P109,Jennifer Wood MD,06/03/1991,second floor,yellow,green,indigo,179
P299,James Mason,1968/07/10,fourth floor,red,indigo,orange,191
P113,Brittney Jones,1975/11/10,fourth floor,orange,violet,green,173
P133,Patrick Farrell,2001/10/12,second floor,orange,indigo,green,163
P085,Helen Knight,07/15/1989,,violet,orange,red,158
P137,David Collins,1988/08/09,third floor,red,blue,yellow,198
P199,Mr. Christian Boyd,1960/21/05,lobby,red,violet,indigo,155
P180,Michael Lee,1987/15/10,fourth floor,red,orange,red,197
P161,Gregory Trevino,1978/20/07,lobby,orange,green,violet,177
P197,Benjamin Miller,11/26/1974,fourth floor,,blue,blue,178
P004,Mitchell Rivera,2006/15/01,lobby,indigo,yellow,blue,160
P260,Bradley Davis,2003/22/04,fourth floor,blue,indigo,yellow,177
P236,Eric Dominguez,1968/14/03,lobby,yellow,red,red,164
P253,Daniel Campbell,1980/04/08,,indigo,yellow,green,150
P012,James Hansen,2003/14/03,third floor,green,orange,orange,192
P225,Marcus Hull,1983/16/10,third floor,red,orange,indigo,165
P290,Brandon Bennett,10/03/1993,third floor,,yellow,indigo,161
P064,Douglas Olsen,08/13/1984,fourth floor,,orange,blue,181
P291,Amy White,1968/22/08,fourth floor,violet,violet,red,154
P002,Alan Reese,2000/13/10,lobby,violet,indigo,indigo,199
P168,Aaron Logan,2005/01/03,second floor,green,indigo,blue,167
P276,Thomas Shepherd,1992/22/05,fourth floor,yellow,indigo,indigo,168
P042,Tyler Lopez,1999/01/02,third floor,violet,violet,green,200
P165,Nicholas Cooper,05/20/1985,fourth floor,,yellow,indigo,199
P283,Malik Perez,08/06/1993,third floor,orange,blue,yellow,197
P121,Ruth Bryant,1963/16/02,lobby,blue,violet,red,184
P204,Wayne Reid,09/28/2004,lobby,,green,indigo,199
P135,Aaron Weber,1960/21/08,second floor,orange,yellow,yellow,151
P131,Rebecca Davis,1970/30/04,,green,violet,yellow,157
P211,Joel Maxwell,2002/26/07,second floor,indigo,green,orange,184
P122,Dr. Diana Stafford,1984/05/05,,violet,blue,red,151
P079,Pamela Smith,10/29/2005,fourth floor,,yellow,violet,161
P269,Laura Johnson,1983/16/07,fourth floor,blue,blue,yellow,161
P300,Michael Mendez,1964/10/11,,violet,yellow,blue,192
P128,Sarah Ruiz DVM,1991/04/08,third floor,indigo,blue,indigo,173
P171,Donna Dillon,2003/02/04,lobby,yellow,orange,blue,194
P142,Andrew Walker,1981/07/11,lobby,indigo,green,indigo,193
P025,Arthur Gutierrez,05/27/1999,,,red,green,153
P056,Rachel Alexander,1987/23/01,fourth floor,blue,blue,blue,184
P070,Carrie Jones,2001/08/01,fourth floor,indigo,indigo,green,166
P065,Andrea Banks,1979/19/10,third floor,yellow,indigo,red,160
P212,Troy Nichols,10/21/1977,third floor,,indigo,red,159
P243,Amanda Crawford,1988/08/09,,blue,yellow,violet,184
P280,Catherine Mathews,1959/03/04,,red,blue,orange,156
P169,Joanna Walker,2000/04/03,lobby,red,yellow,blue,176
P107,Stacey Small,2004/07/07,lobby,red,violet,indigo,196
P096,Evan Norris,2003/28/01,second floor,orange,green,orange,172
P159,Danny Pearson,1995/06/12,fourth floor,red,red,blue,187
P054,Brittany Howard,1973/23/06,lobby,blue,violet,orange,155
P091,Teresa Maldonado,09/10/1960,third floor,,green,blue,177
P069,Jacqueline Huerta,1981/23/06,third floor,yellow,orange,red,199
P293,Mrs. Barbara Harris,1988/05/01,fourth floor,indigo,blue,orange,197
P083,Brooke Pace,07/02/1971,third floor,green,blue,violet,157
P140,Robert Thomas,2004/01/04,lobby,orange,orange,blue,160
P087,Susan White,1960/23/05,third floor,violet,red,yellow,182
P095,Cassandra Anderson,1995/12/04,lobby,orange,red,red,181
P222,Jennifer Keith MD,11/15/1992,lobby,,blue,red,169
P177,Jessica Jones,1961/18/09,,green,green,green,182
P133,Patrick Farrell,2001/10/12,second floor,orange,indigo,green,163
P135,Aaron Weber,1960/21/08,second floor,orange,yellow,yellow,151
P238,Deborah Lee,02/29/1968,third floor,,red,blue,167
P182,Chad English,2005/18/05,,green,green,blue,165
P031,Jason Coleman,07/31/1977,second floor,violet,green,green,195
P270,Donald Herrera,1961/10/08,lobby,red,red,blue,152
P110,Ronald Wilson,12/04/1990,lobby,,blue,violet,170
P020,Steven Wu,04/27/1973,second floor,red,green,green,162
P115,David Smith,02/02/2003,second floor,green,orange,violet,192
P132,Amanda Morales,1971/22/07,,violet,blue,green,192
P018,Vanessa Blackwell,07/24/1978,lobby,,blue,blue,193
P118,Melinda Novak,1979/26/06,fourth floor,blue,red,green,187
P045,Diane Nunez,1976/29/08,second floor,indigo,green,violet,154
P103,Edward Moore,1987/18/06,,yellow,red,violet,161
P112,Jason King,11/11/1990,lobby,,red,blue,173
P139,Michael Archer,1997/13/07,second floor,orange,yellow,red,189
P046,Sandra Tyler,03/13/1992,lobby,,green,red,176
P153,Mary Lara,08/21/1961,lobby,,blue,blue,152
P151,Katelyn Lowe,1961/26/06,second floor,indigo,orange,green,180
P047,Alan Blackwell,04/07/1993,lobby,,blue,violet,185
P043,Sharon Munoz,05/09/1992,fourth floor,,red,red,185
P201,Larry Pena,1996/04/07,lobby,orange,violet,blue,155
P033,Breanna Stevens,2004/29/12,second floor,violet,yellow,indigo,165
P027,Christina Obrien,2003/03/03,third floor,blue,indigo,indigo,187
P010,Gregory Kennedy,08/20/2002,,,indigo,orange,159
P297,Michelle Weber,1993/03/05,,yellow,red,orange,190
P176,Paul Buchanan,09/13/1989,lobby,,violet,green,163
P015,Anthony Edwards,1965/18/11,second floor,orange,indigo,indigo,183
P144,Shane Hernandez,1962/03/12,fourth floor,violet,green,orange,194
P170,George Coleman,1961/19/11,third floor,yellow,blue,indigo,167
P101,Matthew Johns,1978/20/07,lobby,yellow,yellow,violet,153
P266,Cynthia Conner,1989/16/10,lobby,green,blue,orange,156
P117,Dustin Brown,1977/07/09,fourth floor,red,indigo,green,174
P164,Jesus Santos,05/01/2000,fourth floor,violet,yellow,yellow,190
P106,Adrian Hernandez,1989/10/05,,yellow,violet,orange,163
P111,John Garcia,2002/18/10,third floor,yellow,red,orange,194
P173,Julie Zamora,1988/02/11,second floor,blue,blue,yellow,187
P295,Jordan Rasmussen,1958/21/12,third floor,orange,indigo,violet,172
P284,Tiffany Fisher,1994/26/09,second floor,blue,blue,green,164
P159,Danny Pearson,1995/06/12,fourth floor,red,red,blue,187
P239,Rhonda Carey,04/01/1998,lobby,,orange,red,162
P038,Larry Walter,1974/21/04,,blue,yellow,orange,161
P245,Jeffrey Villa,2001/09/12,third floor,red,violet,yellow,171
P259,Jessica Woodard,1965/01/09,second floor,green,green,blue,161
P013,Ronald Harrison,1990/23/07,second floor,violet,indigo,yellow,160
P294,Bradley Jimenez,1974/11/02,second floor,red,red,red,196
P050,Patrick Watson,1959/15/03,,yellow,orange,blue,198
P294,Bradley Jimenez,1974/11/02,second floor,red,red,red,196
P168,Aaron Logan,2005/01/03,second floor,green,indigo,blue,167
P162,Rhonda Baxter,1975/22/03,lobby,orange,yellow,yellow,194
P220,Sara Murray,1996/05/08,third floor,orange,red,red,154
P184,Mary Ferrell,1964/11/08,third floor,blue,green,yellow,178
P175,Colton Brown,1978/06/07,second floor,green,orange,yellow,160
P223,Michael Rodriguez,1991/16/03,lobby,indigo,orange,yellow,156
P143,Tyler Thomas,1996/16/07,,yellow,indigo,violet,150
P164,Jesus Santos,05/01/2000,fourth floor,violet,yellow,yellow,190
P134,Jesse Gaines,1967/08/09,,indigo,violet,blue,184
P298,Marie Flynn,02/20/1998,third floor,,orange,green,194
P282,Anne Butler,01/22/1970,third floor,,violet,green,175
P156,Alexandria Stephens,1981/25/03,third floor,yellow,yellow,orange,152
P144,Shane Hernandez,1962/03/12,fourth floor,violet,green,orange,194
P006,Nancy Bradshaw,11/05/2000,,,indigo,violet,158
P059,Cynthia Marquez,1969/12/09,second floor,indigo,red,orange,187
P041,Anna Keller,1983/27/03,third floor,yellow,blue,indigo,198
P261,Laura Davis,1998/29/06,third floor,green,red,red,175
P214,Jeffrey Huang,1985/17/11,,green,indigo,red,173
P268,Brianna Smith,1961/15/10,second floor,yellow,green,orange,197
P246,Barbara Anderson,1999/12/04,second floor,red,indigo,orange,170
P298,Marie Flynn,02/20/1998,third floor,,orange,green,194
P240,Alfred Munoz,10/02/1983,,,violet,red,163
P235,Timothy Davila,05/07/1962,fourth floor,,yellow,green,163
P145,Robert Lee,11/07/1999,second floor,,indigo,violet,173
P024,Jason Hoffman,1990/18/10,second floor,violet,red,red,178
P078,Jessica Porter,11/19/1996,,,green,orange,175
P130,Robert Ochoa,05/23/1967,second floor,green,blue,blue,199
P271,Sandra Williams,2002/12/08,,blue,blue,green,162
P215,Madison Washington,1987/06/10,fourth floor,indigo,blue,blue,177
P008,Cheryl Thomas,10/03/1984,fourth floor,,red,orange,161
P147,Benjamin Wilson,1964/25/09,second floor,violet,yellow,orange,152
P187,Daniel Steele,04/13/1986,lobby,green,red,red,151
P066,Bonnie Barnes,1988/07/11,second floor,green,blue,green,160
P035,Joseph Mendoza,1966/13/08,second floor,indigo,red,blue,155
P131,Rebecca Davis,1970/30/04,,green,violet,yellow,157
P123,Shaun Smith,1987/03/06,third floor,indigo,blue,orange,184
P248,Jorge Adams,1979/14/11,fourth floor,yellow,green,blue,163
P202,Ishan Kar,1990/12/07,second floor,orange,green,blue,170
P097,Stephanie Brennan,1999/14/08,fourth floor,violet,green,orange,197
P288,Allen Downs,2001/20/01,fourth floor,yellow,red,orange,152
P154,Kyle Morgan,1999/30/10,,blue,indigo,yellow,155
P009,Michael Moreno,1979/13/09,second floor,red,violet,yellow,165
P163,William Schmidt MD,1994/16/05,,yellow,orange,blue,187
P044,Aaron Sanchez,1978/17/04,fourth floor,blue,violet,violet,196
P289,Dr. Melinda Ayala MD,06/05/1998,,green,yellow,red,158
P142,Andrew Walker,1981/07/11,lobby,indigo,green,indigo,193
P034,Cheryl Lambert,06/21/1982,third floor,,green,red,179
P099,Abigail Nelson,1968/01/08,lobby,blue,violet,green,180
P108,Joshua Savage,1967/12/06,third floor,orange,indigo,yellow,165
P226,Paul Mejia DDS,1976/13/12,lobby,red,indigo,yellow,155
P217,Jason Wright,1981/16/05,fourth floor,yellow,indigo,violet,172
P296,Jennifer Robinson,03/20/1988,third floor,,blue,yellow,196
P258,Brian Smith,1967/22/07,third floor,yellow,orange,blue,189
P014,Gregory Thompson,1984/06/11,third floor,yellow,orange,red,194
P247,Charles Jones,1976/10/08,,orange,indigo,red,159
P040,Eric Johnson,1966/08/12,third floor,red,indigo,green,163
P152,Cassandra Dunn,1992/08/07,third floor,yellow,yellow,indigo,151
P016,Gregory Charles,03/25/1989,fourth floor,indigo,red,indigo,200
P057,Sandra Weaver,09/09/1991,fourth floor,violet,blue,yellow,196
P210,David Anderson,1985/18/09,third floor,red,orange,red,161
P254,Shannon Richard,1987/28/10,third floor,violet,violet,yellow,169
P237,Katherine Young,1977/25/04,fourth floor,yellow,blue,yellow,166
P274,Brad Robinson,2001/24/04,fourth floor,green,orange,orange,198
P277,Andrea Le,2005/21/03,,red,orange,yellow,158
P190,Patrick Jimenez,1967/11/06,third floor,red,yellow,red,193
P146,Manuel Mendoza,1999/01/06,lobby,yellow,blue,yellow,191
P241,Traci Martinez,1993/11/07,fourth floor,indigo,indigo,orange,186
P102,Timothy Horne,1985/29/09,fourth floor,yellow,yellow,violet,151
P278,Michael Reid,1984/22/11,lobby,indigo,indigo,orange,198
P072,Angela Sawyer,1983/14/08,third floor,violet,indigo,blue,176
P062,Scott Webb,2000/10/02,second floor,red,red,green,158
P081,Ashley Chang,1982/30/04,third floor,indigo,violet,indigo,170
P183,Jamie West,09/19/1991,lobby,,indigo,indigo,190
P219,Chelsea Woods,10/14/1968,third floor,,blue,orange,172
P061,Carlos Caldwell,08/19/1980,second floor,,yellow,blue,175
P186,Gabriel Vincent,09/28/2004,fourth floor,orange,green,red,156
P130,Robert Ochoa,05/23/1967,second floor,green,blue,blue,199
P114,Stephanie Lam,07/03/2004,second floor,,orange,indigo,183
P196,Taylor Watson,1974/26/12,lobby,green,green,violet,196
P092,Pamela Salas,2002/29/06,,red,indigo,yellow,187
P292,Donna Guzman,1984/01/03,third floor,orange,violet,green,189
P221,Joshua Morris,1964/23/02,second floor,blue,violet,green,176
P124,Gregory Chung,1982/15/12,lobby,blue,blue,violet,157
P165,Nicholas Cooper,05/20/1985,fourth floor,,yellow,indigo,199
P192,Laura Mckenzie,1993/28/10,third floor,violet,violet,yellow,186
P169,Joanna Walker,2000/04/03,lobby,red,yellow,blue,176
P074,Michelle Jimenez,10/20/1984,second floor,,red,red,160
P127,Taylor Douglas,05/11/1962,third floor,green,orange,red,174
P174,Brooke Clark,03/25/2000,second floor,indigo,yellow,indigo,160
P005,Mr. Thomas Boyd,1978/07/01,,green,indigo,violet,153
P026,Jane Smith,11/07/1987,third floor,,blue,indigo,184
P071,Alan Hill,1999/27/02,third floor,yellow,red,violet,186
P263,Victor Petty,1988/06/04,third floor,green,indigo,red,164
P068,Anthony Washington,1973/12/07,lobby,orange,violet,red,170
P160,Joshua Diaz,1959/09/04,second floor,yellow,green,red,161
P218,Shannon Abbott,1987/14/08,fourth floor,green,green,blue,182
P138,Andrew Sharp,1965/18/07,fourth floor,green,orange,green,172
P126,Kenneth Watson,1987/03/01,,violet,indigo,red,176
P203,Donald Anderson,1964/26/09,third floor,yellow,indigo,orange,193
P273,Harold Watkins,2002/12/07,fourth floor,blue,indigo,red,193
P290,Brandon Bennett,10/03/1993,third floor,,yellow,indigo,161
P233,Karen Lambert,06/27/1981,second floor,red,yellow,orange,169
